source,destination,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Vallur NTPC (main),SRIPERAMBDUR PG-DCPC,"Vallur, Alamatty, Sriperumbdur",,,,,,,,,,,,,,,,,,,,
Vallur NTPC (stdby0,SRIPERAMBDUR PG-DCPC,"Vallur, Alamatty, Repeater, Nellore, Kadapa, Chittor, Sriperumbdur",,,,,,,,,,,,,,,,,,,,
Kalvinthapattu  (main),SRIPERAMBDUR PG-DCPC,"Kalvintapattu, Sriperumbdur",,,,,,,,,,,,,,,,,,,,
Kalvinthapattu  (stdby),SRIPERAMBDUR PG-DCPC,"Kalvintapattu, Bhavani, Pondy, Sriperumbdur",,,,,,,,,,,,,,,,,,,,
Kalpakkam (main),SRLDC-DCPC,"Pondy, Neyvelli, Nagapattanam, Dharmapuri, Salem, Hosur, Kolar, Somanahalli",,,,,,,,,,,,,,,,,,,,
Kalpakkam (stdby),SRLDC-DCPC,"Chittor, Kadapa, CK pally, Muddanuru, Ananthapura, Gooty, Kurnul, Raichur, Munirabad, Davanagere, Hiriyuru, Nelamangala, Bidadi",,,,,,,,,,,,,,,,,,,,
Coastal (main),SRLDC-DCPC,"Tuticorin, Madhurai, Karaikudi, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Coastal (stdby),SRLDC-DCPC,"Madhurai, Tirunelveli, Thrivandram, Pothencode, Edaman, Kundara, Edappan, Pallon, KRL, Bharampuram, Kalamassery, Cochin, Trichuru, Kozhikode, Mysore, Nelamangala, Bidadi",,,,,,,,,,,,,,,,,,,,
NTPL (main),SRLDC-DCPC,"Tuticorin, Madhurai, Karaikudi, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
NTPL (stdby),SRLDC-DCPC,"Madhurai, Tirunelveli, Thrivandram, Pothencode, Edaman, Kundara, Edappan, Pallon, KRL, Bharampuram, Kalamassery, Cochin, Trichuru, Kozhikode, Mysore, Nelamangala, Bidadi",,,,,,,,,,,,,,,,,,,,
NNTPS (main),SRLDC-DCPC,"Karaikudi, Thrichy, Nagapattanam, Dharmapuri, Salem, Hosur, Kolar, Somanahalli",,,,,,,,,,,,,,,,,,,,
NNTPS (stdby),SRLDC-DCPC,"Puguluru, Trichy, Karaikudi, Madhurai, Tirunelveli, Thrivandram, Pothencode, Edaman, Kundara, Edappan, Pallon, KRL, Bharampuram, Kalamassery, Cochin, Trichuru, Kozhikode, Mysore, Nelamangala, Bidadi",,,,,,,,,,,,,,,,,,,,
ILFS (main),SRLDC-DCPC,"Nagapattanam, Dharmapuri, Salem, Hosur, Kolar, Somanahalli",,,,,,,,,,,,,,,,,,,,
ILFS (stdby),SRLDC-DCPC,"Nagapattanam, Trichy, Karaikudi, Madhurai, Tirunelveli, Thrivandram, Pothencode, Edaman, Kundara, Edappan, Pallon, KRL, Bharampuram, Kalamassery, Cochin, Trichuru, Kozhikode, Mysore, Nelamangala, Bidadi",,,,,,,,,,,,,,,,,,,,
Kudgi 765kv PG,SRLDC,Kudgi,Narendra,Davangere,Hiriyur,NLMNGL,Bidadi,SMNHL,SRLDC,,,,,,,,,,,,,
